date,state,prediction,predicted_delta_12,lag_12,value,baseline
2019-10-01,wisconsin,249.66803840877915,8.766803840877916,240.90123456790124,283.0,224.0
2019-10-01,wyoming,539.6406035665295,28.76406035665295,510.87654320987656,372.0,429.0
2019-11-01,alabama,312.7489711934156,6.674897119341564,306.0740740740741,328.0,302.0
2019-11-01,alaska,29.917695473251026,2.9917695473251027,26.925925925925924,15.0,22.0
2019-11-01,arizona,416.7626886145405,39.67626886145405,377.08641975308643,345.0,307.0
2019-11-01,arkansas,123.13854595336078,-0.8861454046639226,124.0246913580247,93.0,126.0
2019-11-01,california,3936.131687242798,211.6131687242798,3724.5185185185182,3222.0,3352.0
2019-11-01,colorado,1267.9657064471878,98.49657064471879,1169.469135802469,1023.0,1000.0
2019-11-01,connecticut,78.63648834019205,1.463648834019204,77.17283950617283,76.0,74.0
2019-11-01,delaware,11.81207133058985,0.2812071330589851,11.530864197530866,9.0,11.0
2019-11-01,district_of_columbia,1.0,-1.0,2.0,6.0,4.0
2019-11-01,east_north_central,3575.4609053497943,240.6460905349794,3334.814814814815,3095.0,2831.0
2019-11-01,east_south_central,582.8930041152263,10.189300411522632,572.7037037037037,619.0,562.0
2019-11-01,florida,413.8792866941015,5.187928669410149,408.69135802469134,601.0,397.0
2019-11-01,georgia,631.3182441700961,37.23182441700961,594.0864197530865,621.0,529.0
2019-11-01,hawaii,159.36213991769546,9.436213991769547,149.92592592592592,94.0,133.0
2019-11-01,idaho,371.2880658436214,29.028806584362137,342.25925925925924,306.0,290.0
2019-11-01,illinois,1453.7503429355281,104.7750342935528,1348.9753086419753,1276.0,1139.0
2019-11-01,indiana,690.2592592592594,43.92592592592593,646.3333333333334,596.0,531.0
2019-11-01,iowa,2658.757201646091,188.27572016460908,2470.4814814814818,2751.0,2075.0
2019-11-01,kansas,1617.862825788752,133.98628257887518,1483.8765432098767,2012.0,1227.0
2019-11-01,kentucky,48.09190672153635,3.709190672153635,44.382716049382715,42.0,42.0
2019-11-01,louisiana,268.40466392318245,6.540466392318245,261.8641975308642,185.0,256.0
2019-11-01,maine,371.40740740740745,-1.259259259259257,372.6666666666667,452.0,367.0
2019-11-01,maryland,145.681755829904,10.7681755829904,134.9135802469136,107.0,118.0
2019-11-01,massachusetts,183.7352537722908,8.67352537722908,175.06172839506172,172.0,163.0
2019-11-01,michigan,888.5706447187928,64.65706447187928,823.9135802469135,702.0,706.0
2019-11-01,middle_atlantic,1542.2427983539096,71.72427983539097,1470.5185185185187,1151.0,1298.0
2019-11-01,minnesota,1374.7201646090534,80.57201646090533,1294.148148148148,1255.0,1140.0
